ID,Name,Country,Sovereigns,Islands
794,JAVANESE,Indonesia,Indonesia,
796,SUNDANESE/Central-Eastern,Indonesia,Indonesia,
797,SUNDANESE/South-Eastern,Indonesia,Indonesia,
798,SUNDANESE/North-Eastern,Indonesia,Indonesia,
800,JAVANESE/Manuk,Indonesia,Indonesia,
801,SUNDANESE/Southern,Indonesia,Indonesia,
802,SUNDANESE/Northern,Indonesia,Indonesia,
803,ENGGANO,Indonesia,Indonesia,
806,SUNDANESE/Western,Indonesia,Indonesia,
807,LAMPUNG/C-E,Indonesia,Indonesia,
808,KOMERING,Indonesia,Indonesia,
809,LAMPUNG/Northern,Indonesia,Indonesia,
811,LAMPUNG/Western,Indonesia,Indonesia,
812,LAMPUNG/Southern,Indonesia,Indonesia,
813,LAMPUNG/S-W,Indonesia,Indonesia,
814,LAMPUNG/C-W,Indonesia,Indonesia,
815,SUMATRA MALAY/Semendo,Indonesia,Indonesia,
816,SUMATRA MALAY,Indonesia,Indonesia,
819,SUMATRA MALAY/Ranau,Indonesia,Indonesia,
820,NIAS/Sichule,Indonesia,Indonesia,
821,NIAS/Eastern,Indonesia,Indonesia,
826,JAVA,Indonesia,Indonesia,
827,MINANGKABAU/South-Eastern,Indonesia,Indonesia,
828,MINANGKABAU/Kerinci,Indonesia,Indonesia,
829,MINANGKABAU/Kerinci-Minangkabau,Indonesia,Indonesia,
830,MINANGKABAU/Southern,Indonesia,Indonesia,
831,MINANGKABAU/Pekal,Indonesia,Indonesia,
832,SUMATRA MALAY/Serawai,Indonesia,Indonesia,
833,SUMATRA MALAY/Bengkulu,Indonesia,Indonesia,
835,REJANG,Indonesia,Indonesia,
838,SUMATRA MALAY/Daya,Indonesia,Indonesia,
839,SUMATRA MALAY/Aji,Indonesia,Indonesia,
847,SUMATRA MALAY/Penesak,Indonesia,Indonesia,
848,SUMATRA MALAY/Belide,Indonesia,Indonesia,
849,SUMATRA MALAY/Kayu Agung,Indonesia,Indonesia,
850,SUMATRA MALAY/Ogan,Indonesia,Indonesia,
851,SUMATRA MALAY/Lematang,Indonesia,Indonesia,
853,SUMATRA MALAY/Enim,Indonesia,Indonesia,
